"breweryId","venueId","checkinId","breweryName","breweryLocation","breweryState","breweryLat","breweryLng"
11028,3398,631238426,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,3398,633894654,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,3887,602068547,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,3887,601972265,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,3887,605219696,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,4761,553003424,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,4761,553004264,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,4771,623512240,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,4771,633404423,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,4771,632588719,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,5439,607274509,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,5439,607275554,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,5630,621508700,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,5630,628863693,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,6845,611989941,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,6845,613471565,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,8107,615988283,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,8107,620891528,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,8107,615741311,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,8107,616055007,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,8311,630716841,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,8311,632275406,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,8311,632251175,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,8311,630715919,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,8311,632250872,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,8356,632971751,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,8786,621990343,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,8786,632316763,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,9434,630527558,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,9434,629333356,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,9543,616786975,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,9543,628227899,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,9543,617931349,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,9554,628742824,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,9554,631945321,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,9633,631548270,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,9633,628385633,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,9633,633784013,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,10195,627950561,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,10396,629425153,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,11276,628750077,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,11468,614881139,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,11863,632811192,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,13734,629154543,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,13734,628378683,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,13734,630823756,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,14055,554577809,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,14055,564034607,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,14089,632894444,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,14459,621328999,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,14459,622916782,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,14459,630223037,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,15717,632493406,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
